,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
27,touros,40,BR,1578105138,78,78.8,-5.2,-35.46,4.7
28,mossendjo,100,CG,1578105425,99,70.48,-2.95,12.72,1.97
29,hermanus,0,ZA,1578105426,88,63.0,-34.42,19.24,1.99
30,hilo,40,US,1578105240,57,80.6,19.71,-155.08,6.93
31,bredasdorp,8,ZA,1578105426,77,64.4,-34.53,20.04,3.36
32,ushuaia,40,AR,1578105426,66,48.2,-54.81,-68.31,12.75
33,castro,4,CL,1578105426,76,50.0,-42.48,-73.76,6.93
34,kodiak,1,US,1578105426,55,35.6,39.95,-94.76,17.22
35,hithadhoo,0,MV,1578105426,68,82.8,-0.6,73.08,1.5
36,jamestown,0,AU,1578105426,42,77.76,-33.21,138.6,19.73
37,san ramon de la nueva oran,62,AR,1578105426,81,77.0,-23.13,-64.33,3.69
38,yumen,0,CN,1578105426,56,21.25,40.29,97.04,1.61
39,port elizabeth,75,US,1578105426,100,50.0,39.31,-74.98,3.87
40,chontalpa,62,MX,1578105426,96,71.56,17.7,-93.52,2.17
41,pointe michel,75,DM,1578105426,100,73.4,15.25,-61.38,4.7
42,tuktoyaktuk,40,CA,1578105427,74,-22.0,69.44,-133.03,14.99
43,sitka,0,US,1578105150,64,35.01,37.17,-99.65,6.31
44,tautira,75,PF,1578105427,66,86.0,-17.73,-149.15,12.75
45,chuy,0,UY,1578105427,82,65.28,-33.69,-53.46,7.96
46,alofi,3,NU,1578105427,88,78.8,-19.06,-169.92,3.36
47,kavieng,100,PG,1578105201,68,85.03,-2.57,150.8,4.21
48,baiyin,100,CN,1578105166,62,33.01,36.55,104.13,2.24
49,laizhou,0,CN,1578105427,36,41.77,37.18,119.93,5.01
50,bambous virieux,75,MU,1578105427,94,77.0,-20.34,57.76,2.24
51,san quintin,0,PH,1578105428,53,82.49,17.54,120.52,5.1
52,bethel,1,US,1578105405,76,-9.4,60.79,-161.76,11.41
53,tilichiki,0,RU,1578105421,76,-1.68,60.47,166.1,7.4
54,norman wells,20,CA,1578105428,66,-29.2,65.28,-126.83,4.61
55,champerico,40,MX,1578105428,61,77.0,16.38,-93.6,8.05
56,vestmanna,54,FO,1578105428,80,33.8,62.16,-7.17,12.75
57,kaeo,88,NZ,1578105413,60,75.99,-35.1,173.78,5.01
58,gulf gate estates,1,US,1578105428,88,75.2,27.26,-82.51,14.99
59,victoria,75,BN,1578105428,70,84.2,5.28,115.24,5.82
60,anyama,75,CI,1578105428,64,71.6,5.5,-4.06,3.36
61,aykhal,100,RU,1578105428,82,-20.2,65.95,111.51,2.24
62,kwinana,11,AU,1578105429,28,73.99,-32.25,115.77,12.75
63,port alfred,100,ZA,1578105399,98,69.01,-33.59,26.89,9.51
64,havelock,90,US,1578105371,100,72.0,34.88,-76.9,11.41
65,yellowknife,5,CA,1578105429,76,-11.0,62.45,-114.38,6.93
66,beira,90,ES,1578105429,100,46.0,43.2,-8.36,2.24
67,bandarbeyla,100,SO,1578105429,76,78.21,9.49,50.81,15.23
68,carnarvon,0,ZA,1578105429,79,61.65,-30.97,22.13,8.57
69,souillac,90,FR,1578105153,93,48.2,45.6,-0.6,10.29
70,luwuk,100,ID,1578105315,70,85.84,-0.95,122.79,7.34
71,te anau,96,NZ,1578105429,56,54.14,-45.41,167.72,9.06
72,hobart,93,AU,1578105429,38,75.2,-42.88,147.33,27.51
73,mogadishu,18,SO,1578105158,79,80.15,2.04,45.34,20.24
74,vila velha,40,BR,1578105429,78,86.0,-3.71,-38.6,5.82
75,praya,75,ID,1578105430,94,80.6,-8.71,116.27,1.12
76,otofuke,20,JP,1578105430,49,23.0,43.02,143.2,4.7
77,birao,100,CF,1578105430,26,64.56,10.3,22.78,11.9
78,pisco,90,PE,1578105430,88,71.6,-13.71,-76.2,13.87
79,lorengau,94,PG,1578105430,72,84.7,-2.02,147.27,5.97
80,asosa,84,ET,1578105430,34,71.1,10.07,34.53,6.24
81,petropavlovsk-kamchatskiy,75,RU,1578105430,85,14.0,53.05,158.65,8.95
82,faanui,70,PF,1578105425,78,81.48,-16.48,-151.75,10.71
83,nishihara,75,JP,1578105430,45,53.01,35.74,139.53,10.29
84,ust-nera,68,RU,1578105430,98,-12.8,64.57,143.24,2.06
85,lodeynoye pole,100,RU,1578105414,77,35.22,60.73,33.55,12.21
86,ostrovnoy,100,RU,1578105431,84,22.91,68.05,39.51,27.4
87,dikson,6,RU,1578105431,94,-9.45,73.51,80.55,13.2
88,sioux lookout,90,CA,1578105431,92,15.8,50.1,-91.92,6.93
89,makakilo city,90,US,1578105431,94,80.6,21.35,-158.09,13.91
90,lompoc,1,US,1578105300,58,59.0,34.64,-120.46,6.93
91,upernavik,100,GL,1578105409,97,-13.41,72.79,-56.15,17.85
92,atuona,0,PF,1578105432,73,80.44,-9.8,-139.03,15.73
93,narsaq,100,GL,1578105432,31,35.6,60.91,-46.05,42.5
94,mehamn,85,NO,1578105432,83,31.28,71.03,27.85,14.9
95,bluff,21,AU,1578105181,35,88.77,-23.58,149.07,12.86
96,arraial do cabo,75,BR,1578105303,88,77.0,-22.97,-42.02,4.7
97,luanda,75,AO,1578105147,88,78.8,-8.83,13.24,4.7
98,east london,85,ZA,1578105432,96,75.0,-33.02,27.91,9.42
99,puerto ayora,12,EC,1578105432,83,75.0,-0.74,-90.35,3.0
100,luganville,40,VU,1578105432,62,86.0,-15.51,167.18,10.29
101,rocha,0,UY,1578105433,95,58.87,-34.48,-54.34,5.28
102,mahebourg,75,MU,1578105433,94,77.0,-20.41,57.7,2.24
103,esperance,90,AU,1578105433,45,66.2,-33.86,121.89,14.99
104,port hueneme,1,US,1578105430,76,61.0,34.15,-119.2,4.7
105,berdigestyakh,99,RU,1578105433,97,-19.37,62.1,126.7,5.44
106,luderitz,0,NA,1578105433,77,62.6,-26.65,15.16,16.11
107,eruwa,87,NG,1578105433,19,69.87,7.53,3.42,6.55
108,lincoln,100,GB,1578105433,87,46.0,53.23,-0.54,18.34
109,klaksvik,65,FO,1578105411,80,33.8,62.23,-6.59,12.75
110,gizo,75,IL,1578105433,50,53.6,31.8,34.94,17.22
111,karratha,0,AU,1578105418,80,84.07,-20.74,116.85,16.44
112,necochea,0,AR,1578105414,72,65.03,-38.55,-58.74,13.69
113,acari,69,BR,1578105433,78,73.42,-6.44,-36.64,13.89
114,chermoz,100,RU,1578105433,93,32.5,58.79,56.15,12.01
115,codrington,0,AU,1578105434,24,95.0,-28.95,153.24,10.29
116,barrow,0,AR,1578105434,65,69.75,-38.31,-60.23,12.68
117,ilulissat,100,GL,1578105434,66,14.0,69.22,-51.1,11.41
118,tiznit,9,MA,1578105394,37,50.2,29.7,-9.73,2.57
119,shaunavon,90,CA,1578105434,87,29.98,49.65,-108.41,11.59
120,tuatapere,53,NZ,1578105434,64,53.01,-46.13,167.69,14.0
121,saint george,0,GR,1578105434,85,37.0,39.45,22.34,1.88
122,glendive,20,US,1578105434,79,27.0,47.11,-104.71,6.93
123,tateyama,75,JP,1578105434,70,48.99,36.66,137.31,3.36
124,new norfolk,36,AU,1578105434,38,75.2,-42.78,147.06,27.51
125,isangel,0,VU,1578105434,69,78.8,-19.55,169.27,13.87
126,dubuque,90,US,1578105434,92,33.01,42.5,-90.66,1.36
127,eureka,1,US,1578105154,58,57.0,40.8,-124.16,6.93
128,port-gentil,100,GA,1578105435,80,81.73,-0.72,8.78,13.11
129,utinga,40,BR,1578105435,78,80.6,-5.82,-35.4,4.7
130,nikolskoye,100,RU,1578105435,80,36.0,59.7,30.79,8.95
131,hami,0,CN,1578105435,55,19.15,42.84,93.51,2.3
132,marsa matruh,40,EG,1578105435,87,48.2,31.35,27.25,11.41
133,teacapan,0,MX,1578105435,80,59.63,22.54,-105.74,3.04
134,paraiso,20,BR,1578105435,100,78.8,-0.03,-51.17,3.36
135,lamu,100,CN,1578105435,35,28.18,35.77,102.37,1.1
136,avarua,8,CK,1578105435,69,80.6,-21.21,-159.78,17.22
137,tifton,75,US,1578105435,88,75.2,31.45,-83.51,13.87
138,san cristobal,10,HN,1578105435,85,63.86,14.68,-86.92,4.92
139,oparino,100,RU,1578105435,92,30.49,59.85,48.28,10.94
140,ixtapa,40,MX,1578105436,77,68.0,20.71,-105.21,3.36
141,airai,100,TL,1578105141,92,69.31,-8.93,125.41,6.33
142,botiza,67,RO,1578105436,72,25.66,47.67,24.15,1.03
143,council bluffs,90,US,1578105436,100,33.01,41.26,-95.86,18.34
144,winslow,100,GB,1578105436,86,41.0,51.94,-0.88,11.41
145,pevek,0,RU,1578105436,61,-1.75,69.7,170.27,4.81
146,union,90,US,1578105436,100,55.4,34.72,-81.62,5.75
147,hovd,75,NO,1578105436,93,39.2,63.83,10.7,33.33
148,namatanai,36,PG,1578105139,70,85.53,-3.66,152.44,7.47
149,padang,41,ID,1578105436,64,80.6,-0.92,100.36,3.56
150,manacapuru,20,BR,1578105436,88,78.8,-3.3,-60.62,3.62
151,thomaston,100,US,1578105195,93,62.6,32.89,-84.33,4.7
152,torbay,75,CA,1578105396,86,30.99,47.66,-52.73,24.16
153,skibbereen,75,IE,1578105207,86,41.0,51.55,-9.27,9.17
154,sechura,69,PE,1578105437,86,71.64,-5.56,-80.82,10.13
155,grand gaube,75,MU,1578105140,94,77.0,-20.01,57.66,2.24
156,lebu,0,ET,1578105437,84,50.31,8.96,38.73,2.13
157,buchanan,20,LR,1578105399,94,69.8,5.88,-10.05,6.93
158,acapulco,40,MX,1578105437,78,80.6,16.86,-99.88,5.82
159,groa,40,FR,1578105437,80,41.0,48.67,-4.14,3.36
160,boyolangu,98,ID,1578105437,73,81.93,-8.09,111.9,6.06
161,char bhadrasan,75,BD,1578105437,88,64.4,23.32,90.22,4.34
162,sydney,0,AU,1578105318,22,116.01,-33.85,151.22,23.04
163,camacha,20,PT,1578105150,63,62.6,33.08,-16.33,9.17
164,robertsport,0,LR,1578105438,68,80.74,6.75,-11.37,8.08
165,marienburg,95,DE,1578105438,86,39.99,52.12,9.98,11.41
166,livingstonia,99,MW,1578105438,93,59.88,-10.61,34.11,2.3
167,tura,100,RU,1578105438,99,-6.57,64.27,100.22,1.12
168,koumac,87,NC,1578105438,68,76.77,-20.56,164.28,3.06
169,tasiilaq,100,GL,1578105438,44,19.4,65.61,-37.64,5.82
170,hirara,20,JP,1578105438,64,71.6,24.8,125.28,10.29
171,flin flon,48,CA,1578105435,97,-4.09,54.77,-101.88,2.95
172,kuryk,0,KZ,1578105439,65,36.77,43.18,51.68,13.71
173,elizabeth city,90,US,1578105439,93,61.0,36.3,-76.22,9.17
174,hobyo,73,SO,1578105192,82,74.91,5.35,48.53,11.12
175,loukhi,0,RU,1578105411,81,24.22,66.08,33.04,14.2
176,hay river,75,CA,1578105398,75,-16.6,60.82,-115.79,0.83
177,khatanga,100,RU,1578105439,98,-2.99,71.98,102.47,5.06
178,waingapu,87,ID,1578105439,78,83.93,-9.65,120.26,25.43
179,ambunti,38,PG,1578105439,57,90.03,-4.22,142.82,4.59
180,french harbor,92,HN,1578105439,74,82.4,16.35,-86.43,14.99
181,ilheus,20,BR,1578105219,88,80.6,-14.79,-39.05,2.24
182,husavik,100,CA,1578105439,91,28.0,50.56,-96.99,5.99
183,kahului,40,US,1578105440,78,77.0,20.89,-156.47,13.87
184,yemtsa,100,RU,1578105440,96,33.93,63.06,40.33,13.82
185,asyut,21,EG,1578105440,70,44.6,27.18,31.19,11.41
186,buala,97,SB,1578105440,77,84.09,-8.15,159.59,6.96
187,manzhouli,28,CN,1578105440,86,8.11,49.6,117.43,5.97
188,saint-philippe,75,CA,1578105440,97,39.99,45.36,-73.48,6.93
189,coihaique,0,CL,1578105440,50,55.4,-45.58,-72.07,8.05
190,bida,68,NG,1578105440,27,66.04,9.08,6.02,6.26
191,boca do acre,73,BR,1578105440,96,73.65,-8.76,-67.39,1.72
192,vuktyl,100,RU,1578105440,98,32.83,63.86,57.31,12.59
193,puerto escondido,40,MX,1578105426,74,80.6,15.86,-97.07,3.36
194,salalah,20,OM,1578105440,64,69.8,17.01,54.1,6.93
195,almasu mare,28,RO,1578105440,62,27.16,46.1,23.13,2.35
196,black river,75,JM,1578105441,83,80.6,18.03,-77.85,6.82
197,babahoyo,75,EC,1578105441,65,82.4,-1.8,-79.53,10.29
198,cherskiy,0,RU,1578105441,64,0.97,68.75,161.3,10.31
199,grindavik,100,IS,1578105441,73,26.6,63.84,-22.43,12.75
200,katsuura,40,JP,1578105306,34,57.0,33.93,134.5,10.29
201,bonthe,1,SL,1578105441,72,75.2,7.53,-12.5,2.98
202,pacifica,20,US,1578105441,76,55.99,37.61,-122.49,4.7
203,pleasanton,1,US,1578105441,76,55.99,37.66,-121.87,1.86
204,saldanha,3,PT,1578105441,94,38.16,41.42,-6.55,4.09
205,mont-dore,40,NC,1578105442,43,89.6,-22.23,166.53,14.99
206,fortuna,1,US,1578105442,54,55.99,40.6,-124.16,12.75
207,butaritari,100,KI,1578105442,74,84.0,3.07,172.79,8.01
208,coro,5,VE,1578105442,84,75.99,11.41,-69.67,12.01
209,majalgaon,4,IN,1578105442,83,65.41,19.16,76.21,5.84
210,kargasok,62,RU,1578105442,88,9.46,59.06,80.87,14.38
211,kulhudhuffushi,54,MV,1578105443,79,82.13,6.62,73.07,12.17
212,saint-pierre,75,FR,1578105429,100,42.8,48.95,4.24,4.7
213,port lincoln,100,AU,1578105443,66,62.53,-34.72,135.86,13.6
214,susehri,100,TR,1578105444,97,23.27,40.16,38.09,2.19
215,mar del plata,13,AR,1578105444,59,62.35,-46.43,-67.52,12.84
216,along,97,IN,1578105444,93,55.04,28.17,94.8,0.72
217,akdepe,90,TM,1578105444,86,33.8,42.05,59.39,9.17
218,saint-augustin,90,CA,1578105444,86,39.2,45.63,-73.98,3.36
219,gulu,69,UG,1578105444,56,73.17,2.77,32.3,5.35
220,kovylkino,92,RU,1578105185,89,30.29,54.04,43.91,15.82
221,bathsheba,40,BB,1578105444,78,77.0,13.22,-59.52,5.82
222,qaanaaq,100,GL,1578105444,97,-40.36,77.48,-69.36,5.57
223,hellin,75,ES,1578105444,93,39.2,38.51,-1.7,4.7
224,dunedin,73,NZ,1578105444,44,57.99,-45.87,170.5,31.0
225,oktyabrskiy,75,RU,1578105444,86,30.2,55.61,37.97,8.95
226,paamiut,100,GL,1578105397,59,30.2,61.99,-49.67,4.94
227,lima,20,PE,1578105316,83,71.6,-12.06,-77.04,13.87
228,cabo san lucas,40,MX,1578105293,68,68.0,22.89,-109.91,4.7
229,bar harbor,40,US,1578105445,85,39.99,44.39,-68.2,4.25
230,steamboat springs,90,US,1578105305,79,30.2,40.48,-106.83,1.72
231,nelson bay,0,AU,1578105435,14,111.99,-32.72,152.14,17.22
232,kloulklubed,90,PW,1578105445,66,84.2,7.04,134.26,13.87
233,martapura,86,ID,1578105445,65,85.39,-3.41,114.85,4.94
234,zyryanka,43,RU,1578105445,78,1.22,65.73,150.89,9.35
235,tevaitoa,0,PF,1578105445,76,81.66,-16.78,-151.5,10.8
236,georgetown,100,GY,1578105406,94,80.6,6.8,-58.16,4.7
237,tucurui,84,BR,1578105446,95,73.33,-3.77,-49.67,3.76
238,anadyr,0,RU,1578105446,66,-31.0,64.73,177.51,4.47
239,cortez,1,US,1578105380,63,30.2,37.35,-108.58,3.36
240,arlit,0,NE,1578105446,35,51.33,18.74,7.39,9.62
241,provideniya,0,RU,1578105446,72,-14.26,64.42,-173.23,9.13
242,nemuro,20,JP,1578105446,41,23.0,43.32,145.57,10.29
243,bodden town,20,KY,1578105446,78,82.4,19.28,-81.25,8.05
244,matara,98,BI,1578105147,87,58.01,-3.48,29.48,3.65
245,berlevag,43,NO,1578105446,78,36.09,70.86,29.09,21.36
246,port augusta,0,AU,1578105446,39,80.01,-32.49,137.76,11.99
247,oranjemund,11,ZA,1578105446,94,57.04,-28.55,16.43,6.17
248,ulaanbaatar,0,MN,1578105239,76,-11.2,47.92,106.92,4.36
249,marawi,23,PH,1578105447,77,81.0,8.0,124.29,5.99
250,bourail,100,NC,1578105447,62,77.02,-21.57,165.5,2.53
251,duluth,90,US,1578105356,85,24.01,46.77,-92.13,6.26
252,parabel,68,RU,1578105447,92,8.51,58.71,81.5,9.93
253,oussouye,52,SN,1578105447,60,71.6,12.49,-16.54,6.93
254,panjab,22,AF,1578105447,100,-4.99,34.38,67.02,2.13
255,bousse,66,FR,1578105447,86,42.8,49.28,6.2,3.36
256,cabedelo,20,BR,1578105447,83,78.8,-6.97,-34.84,4.7
257,road town,40,VG,1578105268,78,79.0,18.42,-64.62,10.29
258,ejura,86,GH,1578105447,14,67.44,7.38,-1.37,6.13
259,poum,0,MK,1578105431,30,33.39,41.28,20.71,1.54
260,saurimo,100,AO,1578105448,98,66.02,-9.66,20.4,2.8
261,la asuncion,1,AR,1578105448,83,58.78,-26.05,-65.39,2.95
262,lithakia,0,GR,1578105448,80,35.6,37.72,20.83,5.19
263,taoudenni,100,ML,1578105149,29,53.01,22.68,-3.98,9.26
264,vestmannaeyjar,100,IS,1578105151,71,33.89,63.44,-20.27,37.31
265,margate,93,AU,1578105423,38,75.2,-43.03,147.26,27.51
266,port hedland,40,AU,1578105448,49,93.2,-20.31,118.58,11.41
267,bundaberg,0,AU,1578105448,48,84.99,-24.87,152.35,13.87
268,evensk,100,RU,1578105448,69,9.41,61.92,159.24,10.6
269,vrangel,96,RU,1578105448,59,22.39,42.73,133.08,15.19
270,sinnamary,100,GF,1578105403,80,79.97,5.38,-52.96,13.89
271,umba,71,RU,1578105449,73,29.41,66.69,34.34,31.38
272,henties bay,40,NA,1578105449,93,61.0,-22.12,14.28,5.01
273,buribay,100,RU,1578105449,91,12.96,51.96,58.16,13.38
274,waipawa,100,NZ,1578105449,45,70.0,-39.94,176.59,8.01
275,roald,100,NO,1578105449,80,37.99,62.58,6.12,23.04
276,urucara,86,BR,1578105449,95,72.34,-2.54,-57.76,2.95
277,tagusao,11,PH,1578105449,72,82.4,9.19,117.81,11.79
278,phuthaditjhaba,2,ZA,1578105449,80,56.84,-28.53,28.82,5.55
279,vanavara,100,RU,1578105449,94,19.08,60.35,102.28,8.7
280,sao joao del rei,100,BR,1578105449,95,64.24,-21.14,-44.26,3.18
281,tazovskiy,98,RU,1578105449,94,3.83,67.47,78.7,11.07
282,ulagan,91,RU,1578105450,74,4.19,50.63,87.96,3.53
283,broken hill,0,AU,1578105361,26,91.4,-31.97,141.45,20.8
284,reichenau,75,DE,1578105450,93,44.01,49.19,10.51,12.75
285,yangjiang,89,CN,1578105450,65,69.01,21.85,111.96,5.08
286,nizhniy ingash,68,RU,1578105164,82,21.54,56.2,96.53,9.51
287,nanortalik,100,GL,1578105450,63,28.45,60.14,-45.24,5.86
288,muncar,0,ID,1578105450,74,84.94,-8.43,114.34,17.38
289,port-cartier,90,CA,1578105450,85,21.99,50.03,-66.88,3.36
290,porto novo,100,BR,1578105182,82,66.2,-23.68,-45.44,3.36
291,mount gambier,75,AU,1578105450,67,60.8,-37.83,140.78,18.34
292,linkoping,36,SE,1578105450,100,35.6,58.41,15.62,12.75
293,tucuman,100,PE,1578105450,85,57.94,-17.17,-70.89,3.56
294,olinda,75,AU,1578105411,68,82.99,-37.84,145.39,23.04
295,starkville,90,US,1578105451,100,59.0,33.45,-88.82,4.7
296,abu kamal,86,SY,1578105451,81,46.92,34.45,40.92,1.57
297,biltine,2,TD,1578105451,31,57.16,14.53,20.93,13.49
298,lavrentiya,88,RU,1578105451,93,-14.91,65.58,-170.99,9.62
299,naron,90,ES,1578105451,100,48.99,43.52,-8.15,2.24
300,tessalit,29,ML,1578105451,35,49.46,20.2,1.01,13.65
301,uyuni,46,BO,1578105451,63,54.97,-20.46,-66.82,11.05
302,meulaboh,0,ID,1578105451,77,80.24,4.14,96.13,5.19
303,shimoda,75,JP,1578105163,62,57.99,34.7,138.93,10.29
304,osa,100,RU,1578105451,89,32.83,57.28,55.46,12.48
305,baley,0,RU,1578105451,91,4.46,51.58,116.65,4.61
306,tombouctou,13,ML,1578105451,24,54.91,16.77,-3.01,12.39
307,ibra,0,OM,1578105452,73,63.03,22.69,58.55,2.06
308,port blair,0,IN,1578105452,77,81.57,11.67,92.75,12.86
309,campbell river,90,CA,1578105160,100,50.0,50.02,-125.24,10.29
310,karakol,100,KG,1578105452,67,19.17,42.49,78.39,3.67
311,hasaki,40,JP,1578105452,45,52.0,35.73,140.83,5.82
312,knysna,1,ZA,1578105452,93,66.2,-34.04,23.05,2.24
313,guerrero negro,0,MX,1578105413,52,61.09,27.97,-114.04,3.06
314,gushi,100,CN,1578105452,89,44.73,32.17,115.65,3.98
315,ornes,69,FR,1578105452,86,41.0,49.25,5.47,3.36
316,waddan,0,LY,1578105452,75,45.84,29.16,16.14,6.51
317,maumere,100,ID,1578105453,86,79.59,-8.63,122.22,14.81
318,atambua,100,ID,1578105453,93,74.73,-9.11,124.89,4.25
319,bambanglipuro,100,ID,1578105453,76,82.94,-7.95,110.28,13.18
320,bo rai,90,TH,1578105453,66,84.2,12.57,102.54,8.05
321,mangan,100,IN,1578105453,97,34.65,27.5,88.54,2.93
322,kruisfontein,98,ZA,1578105453,93,67.75,-34.0,24.73,3.53
323,nakamura,20,JP,1578105453,66,57.99,35.17,136.87,13.87
324,mareeba,40,AU,1578105453,74,87.01,-16.99,145.42,11.41
325,bella vista,4,AR,1578105453,78,77.0,-27.03,-65.31,3.36
326,fukue,20,JP,1578105453,66,57.99,35.03,136.69,13.87
327,tabou,0,CI,1578105453,68,68.63,4.42,-7.36,2.95
328,tres arroyos,0,AR,1578105453,66,70.86,-38.38,-60.28,14.36
329,deputatskiy,0,RU,1578105454,96,-19.03,69.3,139.9,0.81
330,raahe,100,FI,1578105454,68,30.2,64.68,24.47,11.41
331,kamenka,0,MD,1578105454,89,19.0,48.03,28.7,2.77
332,morondava,6,MG,1578105454,94,74.66,-20.3,44.28,3.18
333,san carlos de bariloche,20,AR,1578105187,59,62.6,-41.13,-71.31,9.17
334,sangar,98,RU,1578105454,86,-19.68,63.92,127.47,10.54
335,indramayu,33,ID,1578105454,65,84.81,-4.05,103.78,7.87
336,longyearbyen,75,NO,1578105454,55,6.8,78.22,15.63,16.11
337,puerto ayacucho,22,CO,1578105454,69,82.4,5.66,-67.63,1.41
338,xining,100,CN,1578105454,34,29.07,36.62,101.77,4.88
339,bonavista,53,CA,1578105455,85,25.5,48.65,-53.11,13.96
340,komsomolskiy,100,RU,1578105455,95,16.09,67.55,63.78,12.03
341,san patricio,0,PY,1578105455,64,72.9,-26.98,-56.83,4.72
342,bulgan,0,MN,1578105455,64,9.99,48.81,103.53,2.51
343,smithers,90,CA,1578105238,92,24.8,54.78,-127.17,5.82
344,prescott,1,US,1578105455,52,43.0,34.54,-112.47,3.36
345,flinders,3,AU,1578105455,21,115.0,-34.58,150.85,10.29
346,pontianak,24,ID,1578105455,61,89.96,-0.02,109.34,1.66
347,coquimbo,90,CL,1578105455,82,60.8,-29.95,-71.34,4.7
348,emba,15,CY,1578105455,81,46.4,34.81,32.42,6.93
349,saint anthony,1,US,1578105455,85,28.4,43.97,-111.68,2.08
350,garowe,98,SO,1578105456,78,70.34,8.41,48.48,6.73
351,alirajpur,2,IN,1578105456,61,59.99,22.3,74.35,7.65
352,sandviken,47,SE,1578105456,46,36.0,60.62,16.77,13.0
353,omboue,100,GA,1578105456,97,74.55,-1.57,9.26,1.81
354,la ronge,90,CA,1578105456,85,14.0,55.1,-105.3,3.47
355,tias,0,ES,1578105456,82,64.4,28.96,-13.65,8.05
356,itaqui,1,BR,1578105456,57,72.41,-29.13,-56.55,12.5
357,kiama,3,AU,1578105456,21,104.0,-34.67,150.86,10.29
358,noyabrsk,100,RU,1578105456,92,8.2,63.2,75.45,21.72
359,alyangula,86,AU,1578105456,52,93.2,-13.85,136.42,12.75
360,jumla,12,NP,1578105456,68,23.47,29.28,82.18,3.11
361,abu samrah,86,SY,1578105174,82,44.35,35.3,37.18,7.85
362,acandi,79,CO,1578105457,98,69.94,8.51,-77.28,1.86
363,christchurch,96,NZ,1578105457,48,66.99,-43.53,172.64,14.99
364,okrika,87,NG,1578105457,26,72.27,5.52,7.78,7.07
365,teya,75,MX,1578105457,83,79.0,21.05,-89.07,6.93
366,singaraja,100,ID,1578105457,79,82.76,-8.11,115.08,13.71
367,abha,85,SA,1578105457,82,55.4,18.22,42.5,9.17
368,felanitx,20,ES,1578105457,93,55.99,39.47,3.15,1.54
369,soe,38,EE,1578105457,93,36.0,57.91,26.05,12.75
370,hyeres,7,FR,1578105457,70,53.01,43.12,6.14,8.05
371,kimbe,100,PG,1578105457,83,82.99,-5.56,150.15,4.94
372,moindou,100,NC,1578105458,43,89.6,-21.69,165.68,14.99
373,mamlyutka,90,KZ,1578105458,85,24.8,54.94,68.54,24.61
374,maniitsoq,100,GL,1578105458,51,24.33,65.42,-52.9,8.93
375,kurilsk,100,RU,1578105458,74,19.18,45.23,147.88,19.6
376,hassleholm,54,SE,1578105458,80,43.0,56.16,13.77,19.46
377,atherton,40,AU,1578105458,74,87.01,-17.27,145.48,11.41
378,geraldton,90,CA,1578105458,85,15.8,49.72,-86.95,5.82
379,asha,100,RU,1578105458,92,18.19,54.99,57.29,14.07
380,honiara,20,SB,1578105458,74,87.8,-9.43,159.96,11.41
381,mayumba,100,GA,1578105458,86,79.47,-3.44,10.65,14.14
382,wlodawa,90,PL,1578105458,82,35.6,51.55,23.55,16.11
383,iqaluit,90,CA,1578105219,84,8.6,63.75,-68.52,4.7
384,labuhan,60,ID,1578105448,61,86.77,-2.54,115.51,3.67
385,mackenzie,90,CA,1578105459,85,19.4,55.34,-123.09,3.36
386,luis correia,100,BR,1578105459,93,76.5,-2.88,-41.67,4.03
